Id,Target
20568,0
17686,1
13035,0
22646,0
5535,0
5883,0
10137,0
27598,0
18365,0
21232,0
5304,0
27035,0
2641,0
19905,0
15713,0
2221,0
16558,0
22866,0
11621,1
24835,0
13423,0
19697,1
7884,0
26941,0
14171,0
20664,1
17678,0
8900,0
16635,0
13684,1
12248,0
25130,1
21638,1
24196,0
9636,0
6620,0
4546,0
4211,0
21339,0
14804,0
26880,0
20493,0
7317,1
22183,0
10605,0
7030,0
23515,0
14580,0
17639,0
2724,0
20930,0
13044,0
10656,0
24903,0
15058,0
26065,0
17561,0
23210,0
15666,0
26663,0
22061,1
11636,0
26620,0
17333,0
17599,0
6529,0
15736,0
705,0
15405,0
9061,0
10804,0
22833,0
20676,0
3580,0
9482,0
16217,0
23949,0
27059,0
15056,1
5211,0
23842,0
8300,0
21015,0
9315,0
2508,1
22831,0
6188,0
10272,0
26993,0
22586,0
27019,0
15272,0
17585,0
10869,0
23473,0
21044,0
13014,0
9103,1
14433,0
16461,0
15388,0
9421,0
6319,0
10090,0
17269,0
2918,0
17754,0
10709,0
10408,0
3473,0
21667,0
17866,0
24255,0
23807,0
8251,0
6916,0
16306,0
5284,0
23756,0
13063,1
11449,1
22089,0
11125,0
21215,0
2754,1
17066,0
15436,0
15377,0
23331,0
6725,0
6145,0
12353,0
15584,1
4101,0
26322,0
21747,0
15381,0
10256,0
12240,0
17982,0
15556,0
18254,1
17656,0
11822,0
5117,1
19974,0
3757,0
18835,0
5678,0
13561,0
22661,0
7085,1
26903,0
27346,0
15428,0
12717,0
25437,0
24247,0
23246,0
22792,0
15024,0
10971,0
13725,0
17662,0
24064,0
18200,0
9469,0
26235,0
19321,0
18010,0
12917,0
16298,0
843,1
13988,0
6234,0
27349,0
17344,0
12845,0
15356,0
20895,0
5391,0
12382,0
8178,0
2464,0
13314,0
3820,0
9626,0
11624,0
22184,0
3268,0
18754,0
6287,0
22767,0
23666,0
24144,0
16628,0
22938,0
15631,0
7293,0
5673,0
12440,0
16134,0
7201,0
12825,0
27159,1
26062,0
1103,0
18779,0
5225,0
7445,0
852,0
9539,0
7578,0
1555,0
22352,0
11206,0
10186,0
22970,0
8742,0
26852,0
8937,0
8726,0
10212,0
19042,0
11682,0
22881,0
18353,0
12699,0
13638,0
19973,0
14720,0
3673,0
7212,0
428,0
16144,0
26527,0
7786,0
14442,0
20198,0
7474,0
5880,0
19612,0
20813,0
14476,0
19421,0
8483,0
5570,0
273,0
10397,0
25886,0
15739,0
10779,0
2726,0
24547,0
7640,0
26603,0
8489,0
21138,0
24311,1
24499,0
27489,0
18623,0
26840,0
19535,0
14134,0
7515,0
505,0
3410,0
14302,0
18421,0
15852,0
16734,0
22826,0
11361,0
3169,0
22186,0
15915,0
23817,0
10091,0
19213,0
3971,0
25646,0
26800,0
22086,0
1758,0
13818,1
15509,0
16588,0
24998,0
19401,0
1288,0
3525,0
7255,0
15741,1
5705,0
16550,0
23519,0
23204,0
20782,0
26079,0
22835,0
3885,0
7752,0
12514,0
312,0
5937,0
26611,0
6835,1
22478,0
27640,0
13000,0
2383,0
4160,0
24408,0
16271,1
11521,0
17870,0
1190,0
10365,0
16319,0
11398,0
5528,0
21021,0
11266,0
22011,0
6950,0
11827,0
9565,0
12268,0
21901,1
12083,0
6939,0
23243,0
16637,0
12554,0
17822,0
6,1
11762,0
9598,0
16912,0
99,0
27058,0
24379,1
24295,0
10235,0
15766,0
24539,0
24927,0
17407,0
5383,0
25843,0
5925,0
18258,1
516,0
8223,0
12745,0
18242,0
6151,0
14535,0
5841,0
18426,0
19148,0
18185,0
4391,0
10087,0
1901,0
25958,0
3383,0
27389,0
26167,0
16047,0
21058,0
24563,1
5221,0
22755,0
11482,0
626,0
10610,0
21531,0
6325,0
10311,0
15241,0
14143,0
18078,0
4771,0
5780,0
27287,0
7600,0
24550,0
3455,0
20593,0
4469,0
13590,0
24480,0
20608,0
10802,0
13758,0
6011,0
14008,1
17464,0
26724,0
26799,0
23216,0
26563,0
17110,0
26931,0
22706,0
2647,0
17610,0
21256,0
9659,0
9502,0
23432,0
25511,0
9920,0
4461,0
10021,0
8757,0
14550,0
3662,0
13287,0
11674,0
3230,0
11276,0
26135,0
5847,0
16738,0
1441,0
12282,1
26313,0
12806,0
10477,0
17410,0
11124,0
18992,0
1444,1
15044,0
3053,0
20899,0
6508,0
19609,0
25656,0
15943,0
10318,0
26645,0
23021,0
16180,0
19081,0
20222,0
14526,0
17321,0
25415,0
13205,0
14897,1
12983,0
16933,1
6069,0
397,0
12645,0
10347,0
13943,0
27766,0
22850,0
17384,0
4203,0
5144,0
17557,0
13174,1
25479,0
8407,0
26252,0
17489,0
26999,0
9620,0
24878,0
20272,0
4393,0
26686,0
24568,0
24749,0
8255,0
8867,0
12154,0
8528,0
24651,0
21202,0
7505,0
2982,1
23057,1
5437,0
21152,0
11909,0
1122,0
24923,0
21301,0
5460,0
2851,0
22813,0
23062,0
6072,0
9872,0
18806,0
24888,0
19985,0
19677,1
18602,0
23068,0
7516,0
24019,0
20321,0
3660,0
12341,0
3474,0
17693,0
24732,0
4745,0
4580,0
6419,0
15809,0
3694,0
15606,0
23987,0
26307,0
27334,0
7339,0
15252,1
21052,0
25683,0
23682,0
13609,0
12727,0
274,0
4484,0
3096,0
3725,0
4985,0
17538,0
18715,0
16050,1
26875,0
4605,0
18958,0
4372,0
19419,0
16820,0
733,0
2949,0
22273,0
15757,0
21738,0
13848,0
19048,0
10904,0
10333,0
4404,0
25633,0
26758,0
12923,1
27217,0
3635,0
5508,0
4702,0
17759,0
7499,0
9375,0
17328,0
19130,0
27742,0
10820,0
1087,0
26111,0
15480,0
22367,1
1668,0
6802,0
17654,0
4684,0
12188,0
2507,0
573,0
23730,1
20362,0
8375,0
10781,0
4450,1
1815,0
26179,0
3735,0
18403,0
22560,0
8936,0
7117,0
22803,1
7428,0
250,0
4900,0
22319,0
19849,0
23670,0
24939,0
20211,0
26428,0
17547,0
11374,0
14438,0
866,0
22143,0
21055,0
6427,1
1406,1
16439,0
6241,0
11259,0
9464,0
4416,0
25217,0
11973,0
3263,0
3193,1
15280,0
24963,0
27461,0
7024,0
11985,0
7477,0
12053,0
24369,0
2588,0
3901,0
6127,0
17829,0
12967,0
14003,0
6165,0
27493,0
24317,0
13102,0
19690,0
12854,0
4903,0
20366,0
18370,0
905,0
3916,1
12831,0
25075,0
9068,0
18896,1
18611,0
2932,0
9442,0
21728,0
24576,0
20165,0
19141,0
196,0
5115,0
5671,1
27130,0
3503,0
21773,0
9405,0
9328,0
11566,0
12279,0
18871,0
18559,0
351,0
22030,0
1512,0
13784,0
5908,0
27701,0
12385,0
1804,0
22275,0
6904,0
14942,0
18129,0
27557,0
15059,0
21824,0
14399,0
21888,0
14255,0
10354,0
15276,0
26055,0
550,0
20716,0
6049,0
6198,0
16686,0
3993,0
14487,0
19718,0
8941,0
25033,0
27156,1
26834,0
23182,0
17941,0
121,0
11406,0
25293,0
5657,0
8908,0
3601,0
7974,1
3979,0
9962,0
2532,0
18962,1
2111,1
6281,0
16258,0
5365,0
2055,0
23558,0
6014,1
15117,0
11453,0
9051,0
1972,0
19885,0
5708,0
13160,0
26397,0
1921,0
14938,0
11123,0
14808,1
21679,0
2595,0
4043,0
579,0
22710,0
23381,0
17820,0
52,0
26664,0
13172,0
3210,0
23406,0
22513,0
1710,0
24386,0
8393,0
22181,0
18212,0
1923,0
25040,0
19245,0
2884,0
15243,0
8278,0
22170,0
9683,0
17405,1
18535,0
6494,0
10392,0
19795,0
9453,0
9575,0
19570,0
22026,0
22894,0
22237,0
24950,0
16893,0
4569,0
11037,0
14979,0
12981,0
26725,0
1109,0
3964,0
23468,1
22820,1
10443,0
3608,0
3548,0
5742,0
5388,0
21560,0
14810,0
11318,0
6237,0
20885,0
8030,1
23315,0
3876,0
15315,0
17151,0
16563,0
11414,0
12550,0
22609,0
13194,1
8192,0
4384,0
24798,0
1427,1
401,0
6868,0
24660,0
26158,0
15344,0
19794,0
15963,0
18687,0
18150,0
24985,0
25630,0
10342,1
8696,0
16031,0
19060,0
17592,0
11724,0
24733,0
15692,0
17534,0
22374,0
16139,0
10175,0
24711,0
26331,0
4884,0
22333,0
6720,1
10324,0
17226,0
19698,0
5138,0
23871,0
12119,0
10463,0
23414,1
2141,0
1959,0
3707,0
22033,0
4463,0
18728,0
27474,0
26225,0
15287,0
462,0
8151,0
278,0
21653,0
20723,0
23305,0
14578,0
323,0
27602,0
20429,0
27375,0
13038,0
21278,0
4296,0
15758,0
4519,0
23487,0
5453,0
24271,0
12332,0
18571,0
21206,0
5762,1
23531,0
18819,0
5572,1
16889,0
2275,0
20328,0
10154,0
10013,0
7568,0
3189,0
19067,0
10094,0
7174,0
2901,0
7231,0
25572,0
5513,0
12137,0
21835,0
17716,0
14190,0
21958,1
22278,1
11843,0
10872,0
10263,0
11988,0
16490,0
13883,0
19845,0
4413,0
2119,0
24129,0
3229,0
23005,0
1660,0
4867,0
8615,0
7542,0
8324,0
15411,1
13250,0
11333,0
15144,0
24663,0
5683,0
17550,0
2240,0
8777,0
9240,0
19291,1
5853,0
5218,0
19358,0
25638,0
17701,0
10353,0
2408,0
15956,0
3589,0
11817,0
26166,0
11305,0
18364,0
22104,0
2393,0
7447,0
5826,0
21731,0
1947,0
10814,0
2904,0
3398,0
2316,0
27178,0
1388,0
24678,0
775,0
2153,1
5545,0
18209,0
25161,0
19351,0
21397,0
26564,0
7451,0
2714,0
20319,0
16196,0
21806,1
8101,0
46,0
16203,0
20943,0
9932,0
15720,0
23037,0
7563,0
26276,0
5610,0
9350,1
25288,0
8274,0
3308,0
19647,0
19186,0
1489,0
13857,0
13624,0
14542,0
17355,0
14987,0
10812,0
25142,0
22594,1
2208,0
20967,0
9329,1
23238,0
18979,0
24377,0
22951,0
20637,0
13822,0
9165,0
16497,0
20130,0
7395,0
12539,0
20027,0
5627,0
6879,0
23041,0
5047,0
25166,0
14222,0
2136,0
9622,0
13144,0
25340,0
345,0
8450,0
12463,0
8834,0
10217,0
18325,0
26385,0
2694,0
9248,0
15204,0
20816,0
27434,0
25044,0
5405,0
2259,0
24926,0
15263,0
21722,0
20230,0
12937,0
23474,0
20274,0
27114,0
6173,0
23604,0
2496,0
26029,0
4793,0
26608,0
6440,0
22729,0
10608,0
14313,0
14101,0
12291,0
25022,0
24124,0
11264,0
20957,1
14216,0
10228,0
15923,0
13559,0
17907,0
17605,0
24675,0
3382,0
2813,0
25465,1
7558,0
2805,0
8341,0
17179,0
19249,0
4672,0
23149,0
15331,0
5219,1
13573,0
16697,0
15691,0
19372,0
18308,0
24380,0
20268,0
9934,0
34,0
23436,0
27214,0
16777,0
24624,0
261,0
11764,0
19980,0
18867,0
15729,0
3711,0
13536,0
6576,0
18695,0
19214,0
19442,0
5493,0
14305,0
7739,0
17979,0
15776,0
12758,0
7606,0
23137,0
7755,0
10476,1
12030,0
5844,0
8492,0
6580,0
22137,0
9952,0
10783,0
6760,1
9779,0
8246,0
2388,0
474,0
6863,0
27327,0
26583,0
9564,0
5472,0
26125,0
6280,0
10465,0
19499,0
2718,0
15904,0
